Sun Saathiya,"Divya Kumar, Priya Saraiya",Sachin Jigar,Priya Saraiya,ABCD -  2 (2015),"Shraddha Kapoor, Varun Dhawan",Romantic Songs,http://www.youtube.com/embed/WyFNSkaoUqo,"ho sun saathiya maahiya
barsa de ishqa di syaahiyaan
rang jaaun rang rang jaaun ri haari main
tujhpe main jhar jhar jhar jaaun
hoon piya bas teri main
ho chhu le toh khari main
toh khari main khari main
sun saathiya maahiya
barsa de ishqa di syaahiyaan

main ret si boond ka zariya tu
paa ke tujhe bheeg jaaun re
main ret si boond ka zariya tu
paa ke tujhe bheeg jaaun ri
tar jaaun main tar tar jaaun
dariya ye tar jaaun jee
ishq ye paake main tera nikhar jaaun ri

piya bas teri main ho chhu le toh khari main
toh khari main khari main

sun saathiya maahiya
barsa de ishqa di syaahiyaan
", , , ,1,2015
Bezubaan Phir Se,"Madhav Krishna, Anushka Manchanda, Vishal Dadlani",Sachin Jigar,Mayur Puri,ABCD -  2 (2015),"Punit Pathak, Raghav Juyal, Shraddha Kapoor, Varun Dhawan",Dance Songs,http://www.youtube.com/embed/xutBFUf3LoU,"jaan le ki kismat ne baante hai raahon mein kaante
aur main bhi hu ziddi aaun kismat ke aade
naa roke rukun tu gira main uthun
pinjre todkar failaunga main par
tujhme jitna hai zor tu laga le magar
hans ke kat jaayega na jhukega ye sar

jaan le ki kismat ne baante hai raahon mein kaante hai
naa roke rukun tu gira main uthun

regzaaron mein aag hai jitni
hai lahu kholta mera inn ragon me phir bhi
khaaksaron ko khaak hi kaafi
raas mujhko hai khamoshi meri
bezubaan kab se main raha
begunaah sehta main raha
bezubaan kab se main raha
begunaah sehta main raha

jaan le ki kismat ne baante hai raahon mein kaante hai
ki ki kismat ne baante hai raahon mein kaante hai

sau sawaal hain sau hai laanate
mere taraano pe lagi hai kaalikhe
yeh aag sapno ki raakh haathon mein
sooni aankhon mein chalti umeed hai
na mila mauka na mili maafi
keh do kitni sazaa aur baaki
bezubaan kab se main raha
begunaah sehta main raha
bezubaan kab se main raha
begunaah sehta main raha

jaan le ki kismat ne baante hai raahon mein kaante hai
main bhi hu ziddi aaun kismat ke aade
naa roke rukun tu gira main uthun
pinjre todkar failaunga main par
tujhme jitna hai zor tu laga le magar
hans ke kat jaayega na jhukega ye sar", , , ,2,2015
Vande Mataram,"Divya Kumar, Badshaah, Tanishka Sanghvi, Daler Mehndi",Sachin Jigar,Mayur Puri,ABCD -  2 (2015),"Prachi Shah, Dharmesh Yelande, Punit Pathak, Raghav Juyal, Lauren Gottlieb, Prabhu Dheva, Shraddha Kapoor, Varun Dhawan",Patriotic Songs,http://www.youtube.com/embed/Ki4_Fc3XoSk,"ik tera naam hai saancha ho ik tera naam hai saancha
mann meriya ne baancha bas naam tera maa ho
ek pehchaan meri tu hi
jind jaan meri tu hi jahaan mera maa
tujh pe vaarna sau waari jaan main
tujh pe vaarna sau waari jaan main
tere qurbaan meri maa
vande mataram vande mataram
vande mataram vande mataram

aa gayi ghadi hai dekho sabse badi
hai mujhse bas do kadam pe dekho jeet khadi
haan mujhe kab se intezaar tha aaj ki shaam ka
ab dekho kya karta hai ye banda hindustan ka
jo kisi ke bhi aage jhuka nahi haan main hun us desh ka
tu baith ke le nazaara is treble aur bass ka
seedha chalun ya chalun dhai dhai chaal main
khel mera hoga ye dekh lambi race ka
mitti ka karz hai main mar ke bhi chukaunga
tujhe mitti kar doonga
ya phir main mitti mein mill jaaunga
jo bhi kaha tha main wo karke dikhaunga
india se hoon khaali haath nahi jaaunga
abe jam ke pakad jhaad dunga tujhko main ukhad dunga
jahaan se tu aaya hai na wahin tujhe gaad doonga
teri zameen pe aaj tujhe hi pachhaad doonga
jhanda india ka bete gaad doonga

jeetoon ya haarun mujhe koi parwaah nahi
tumko main dikhaaun mujhe koi parwah nahi
maa hi mera rab hai meri maa hi mera peer meri
maa ke pairon ke alawa koi dargah nahi
naachunga naachunga mujhko fitoor hai
naachunga naachunga dil majboor hai
aaj ki shaam meri maa ke hai naam
meri maa mujhe dekhegi naachna zaroor hai
main jeetun ya haarun mujhe naachna zaroor hai
meri maa mujhe dekhegi naachna zaroor hai
naachna zaroor hai mujhe naachna zaroor hai
maa maa mujhe naachna zaroor hai
maa meri mujhe dekhegi naachna zaroor hai

rang kesar soora waaleya
rang sabj khili fulkariyan
ho rang chitta niyat saaf da
ho rang teenon jaan se pyaareya
rang teenon jaan se pyaareya ho rang meri maai ka
rang sachchai ka har achchhai ka hai maa
rang teri reet ka rang teri preet ka
rang teri jeet ka hi chhaaye chhaaye

kaise main chukaawan tera ehsaan
maai teri chunariya lehraaye
jab tak mujh mein hai zara si jaan
maai teri chunariya lehraaye
ik tera naam hai saancha ho vande mataram vande

sujalaam suphalaam malayaj sheetlaam
sasya shyaamalaam maataram vande
sujalaam suphalaam malayaj sheetlaam
sasya shyaamalaam maataram vande
sujalaam suphalaam malayaj sheetlaam
sasya shyaamalaam maataram vande

aye maai re shubhrajyotsnaa pulakita yaaminim
pulla kusumita drumadala shobhinim
suhaasiniim sumadhura bhaashhinim

sujalaam suphalaam malayaj sheetlaam
sasya shyaamalaam maataram vande
sujalaam suphalaam malayaj sheetlaam
sasya shyaamalaam maataram vande
sujalaam suphalaam malayaj sheetlaam
sasya shyaamalaam maataram vande maai re", , , ,3,2015
If You Hold My Hand,Benny Dayal,Sachin Jigar,Mayur Puri,ABCD -  2 (2015),"Lauren Gottlieb, Shraddha Kapoor, Varun Dhawan",Romantic Songs,http://www.youtube.com/embed/OU7_n4nAb0Q,"tumko chhu le jo hawaa usey chhoona chaahun main
i dont wanna go wanna make castles in the sand
tu jo sang chale naa honge tanha raaste
i am gonna love you like no one ever can

ke kab tak main rahoon akele
you know i need you by my side
ke kab tak main jeeyun akele
that one thing i have realize
if you hold my hand badal jayegi meri duniya
if you hold my hand toh mill jaayegi sabhi khushiyan
if you hold my hand nikhar jayegi meri duniya
if you hold my hand o baby i will never let you go

o you callin out for me you callin out for me
o you got me on my knees on my knees
o you callin out for me you callin out for me
o you got me on my knees for life

hey mujhko mill jaao jo tum toh
tumko sar-aankhoon pe rakh lunga main
baby i will be there for you forever
kehta aaya hoon mein time n again
hey mujhko mill jaao jo tum toh
tumko sar-aankhoon pe rakh lunga main
baby i will be there for you forever
kehta aaya hoon mein time n again

ho tu jaane na ye how i need you
like a bird thats looking for the sky
main jaanu tere bin main kya hoon
o baby i am just another guy
if you hold my hand badal jayegi meri duniya
if you hold my hand toh mil jayegi sabhi khushiyaan
if you hold my hand nikhar jayegi meri duniya
if you hold my hand o baby i will never let you go

o you callin out for me you callin out for me
o you got me on my knees on my knees
o you callin out for me you callin out for me
o you got me on my knees for life", , , ,4,2015
Chunar (Rang Teri Reet Ka),Arijit Singh,Sachin Jigar,Mayur Puri,ABCD -  2 (2015),Varun Dhawan,Pop Songs,http://www.youtube.com/embed/is8htdhRZv8,"o jheena jheena jheena re udaa gulaal
maai teri chunariya lehraai
jheena jheena jheena re udaa gulaal
maai teri chunariya lehraai

rang teri reet ka rang teri preet ka
rang teri jeet ka hai laayi laayi laayi
rang teri reet ka rang teri preet ka
maai teri chunariya lehraayi
jab jab mujhpe hai utha sawaal
maai teri chunariya lehraai
jheena jheena re udaa gulaal
maai teri chunariya lehraai

jag se haara nahi main khud se haara hoon maa
ik din chamkunga lekin tera sitaara hoon maa
maai re maai re tere bin main toh adhoora rahaa
maai re maai re mujhse hi roothi meri parchhaai
o ho meri parchhai tera khayal
maai teri chunariya lehraayi
jheena jheena jheena re udaa gulaal
maai teri chunariya lehraayi

rang teri reet ka rang teri preet ka
rang teri jeet ka hai laayi laayi laayi
rang teri reet ka rang teri preet ka
maai teri chunariya lehraayi
jab jab mujhpe hai utha sawaal
maai teri chunariya lehraayi
jheena jheena re udaa gulaal
maai teri chunariya lehraayi", , , ,5,2015
Bezubaan Phir Se (Reprise),"Neel Sharma, Shraddha Kapoor",Sachin Jigar,"Mayur Puri, Neel Sharma",ABCD -  2 (2015),"Punit Pathak, Raghav Juyal, Prabhu Dheva, Shraddha Kapoor, Varun Dhawan",,http://www.youtube.com/embed/JtW6GkJJ-A8,"tooti hai roothi hai
haathon se chhooti hai
maana teri roshni
gehra andhera hai do pal thehra hai
rang aasmaano ka bhi
aasan raahon ko tune liya kab hai
ziddi savere tere
apne se waadon ke sau sau iraadon ke
dil mein basere tere

wo jo keh paaye na zubaan teri
wo aankhen teri karde bayaan
paanv tere kahin roke rukenge na
ho khud pe yakeen jo tera
teri kahani teri zubaani
sunega ye saara jahaan
bezubaan kab se tu rahaa
begunaah sehta kyun rahaa
bezubaan

wo ho khawabon ka tere qissa hai
tera haq tera hissa hai
tujhse na chheene jahaan
ho teri intehaan dekhega
aaj aasmaan dekhega
kya hai tera faisla
bezubaan kab se tu rahaa
begunaah sehta kyun raha
bezubaan kab se tu rahaa
begunaah sehta kyun raha

i dont wanna not be livin cause what could happen
who you tellin me to be something i can manage
feelin like im ready after carrying all this baggage
it used to be challenge and it switch to an advantage
toughened by the failure and now strengthened by victory
feedin of the pain even though its contradictory
misery is something that i see as a mystery
periphery is empty and rest is move to history

teri intehaan dekhega
aaj aasmaan dekhega
kya hai tera faisla", , , ,6,2015
Happy Birthday,"DSoldierz, Sachin, Jigar, Varun Dhawan",Sachin Jigar,"Mayur Puri, DSoldierz",ABCD -  2 (2015),"Varun Dhawan, Shraddha Kapoor, Prabhu Dheva, Lauren Gottlieb","Birthday Songs, Party Songs",http://www.youtube.com/embed/bV2GklFBaT8,"party toh kabhi se suri hui hai
par bhai meri to entry nahi hui hai

main tu mere yaar tere friends
teri girlfriend teri ex teri girlfriend ka ex
kyu ho gaye saare junglee kyu ho gaye saare junglee
kyu ho gaye ho gaye ho gaye ho gaye
ho gaye saarey junglee ikatthey
aww tera happy birthday aww tera happy birthday
aww tera happy birthday naach pajama pakad ke patthey
aww tera happy birthday aww tera happy birthday
o aaj toh party jabtak fatte
naach pajama pakad ke patthe

ek hor saal puraani ho gayi
teri alhad jawaani alhad jawaani
khudiya thi pehle ji ab ho gayi
teri auntiyan deewani teri auntiyan deewani
ek hor saal puraani ho gayi teri alhad jawaani
khudiya thi pehle ji ab ho gayi teri auntiyan deewani
aww tera happy birthday aww tera happy birthday
aww tera happy birthday naach pajama pakad ke patthe
aww tera happy birthday aww tera happy birthday
oye aaj toh party jab tak fatte
naach pajama pakad ke patthe

birthday hai bhai birthday hai
aaj terey bhai ka birthday hai
oo candles bujh gayi ab sab mein cake batte hai
chicks saari hot yahaan pe can saarey thandey hain
test khel liya pure saal aaj toh mera one day hai
saare bolo happy birthday
zor se bolo happy birthday
aawaaj ni aayi happy birthday
thoda loud holo happy birthday
saare bolo happy birthday
o phir se bolo happy birthday
o happy birthday oye happy birthday
aww kaai zaala aww tuza naam kaa he
aww aaun chhu aww aww

tu chale mein chalun tu rukke mein rukun
apne to daily hain naye naye hungaame
tu girre mein thaamu mein girru tu thaame
apne to daily hain naye naye hungaame
jo teri deal hai wo meri deal hai
with you o buddy mujhey aati yehi feel hai

main tu mere sir guru
teri girlfriend teri ex teri girlfriend ka ex
hain ek thaali ke saare hain ek thaali ke saare
hain ek thaali ek thaali ke ek thaali ke chatte-batte
aww tera happy bday aww tera happy bday
aww tera happy bday naach pajama pakad ke patthe
aww tera happy bday aww tera happy bday
aaj lagenge tujhpe satte naach pajama pakad ke patthe

one more saal puraani ho gayi 
teri allhadh jawaani o just one more saal
khudiya thi pahele ji ab ho gayin 
teri auntiyan deewani auntiyan deewani
aww tera happy birthday aww tera happy birthday
aww tera happy birthday naach pajama pakad ke patthe
aww tera happy birthday aww tera happy birthday
oye aaj toh party jab tak fattey
naach pajama pakad ke patthe chala chala", , , ,7,2015
Naach Meri Jaan Naach,"Benny Dayal, Shalmali Kholgade, Siddharth Basrur, Rimi Nique",Sachin Jigar,"Mayur Puri, Rimi Nique",ABCD -  2 (2015),"Varun Dhawan, Shraddha Kapoor, Prabhu Dheva, Lauren Gottlieb, Raghav Juyal","Party Songs, Dance Songs",http://www.youtube.com/embed/J1SVvFhabwY,"sau dafa dil sambhala sau dafa dil gayaa
bhoole hum toh jahaan ko yaar jo mill gayaa
main hoon aur tu hai dil ka rasta dil ke through hai
par ye feeling thodi new hai jaan le
main hoon aur tu hai poochta kyun what to do hai
mastiya toh ab shuru hai naach le
oo naach meri jaana sun oo naach meri jaan naach
oo naach meri jaana sun oo naach meri jaan naach
hoke bindaas naach meri jaana sun
oo naach meri jaan naach

tu kare jo main karun toh sharm hai kis baat ki
ho subah toh bhool ja ye shart hai iss raat ki
dekha hai suna hai aas ka jo maamla hai
maamla yeh raas ka hai jaan le
main hoon aur tu hai poochta kyun what to do hai
mastiya toh ab shuru hai naach le
oo naach meri jaana sun oo naach meri jaan naach
oo naach meri jaana sun oo naach meri jaan naach

euphoria colors everywhere within a maze oh i find you
its an explosion of love happiness and we are dancing
masquerades full of life move like nobodys is watching
life went on this is what we are feeling
we come alive destiny just listen to the beat and groove
o naach meri jaana sun o o hoke bindaas
o naach meri jaana sun o naach meri jaan naach
o naach meri jaana sun o naach meri jaan naach", , , ,8,2015
Happy Hour,Mika Singh,Sachin Jigar,Mayur Puri,ABCD -  2 (2015),"Varun Dhawan, Shraddha Kapoor, Prabhu Dheva, Lauren Gottlieb",Playful Songs,http://www.youtube.com/embed/YLOpzudN23g,"o saara saara din guzara intezaar mein
har khushi mili hai meri mujhe udhaar mein
mere to gham bhi one pe one hain free
main kal yahaan tha yahin hoon aaj bhi
kal bhi miloonga tujhko issi bar mein
o happy hour mein o happy hour mein
ho doobegi har fiqar pehli baar mein
o happy hour mein o happy hour mein

dil machaye shor mm khaali glass aahun aahun
dil ne zid jo ki hai
baat meri maane baat meri maane na
zid ki hadd nahi hai baat meri maane naa
na mujhsa koi there is one and only me
ke bijliyon si ragon mein hai meri
daude current jaise koi taar mein
happy hour mein o happy hour mein
o doobegi har fiqar pehli baar mein
o happy hour mein o happy hour mein

ulte keede chatpata ke doon
kundi tode khatkhata ke doon
panchhi hai par phad phada ke pinjra tod de
chappal chatki chataayi mein
sui gum hui rui ki rajaai mein
par tune kyun dum dabaai da da darna chhod de
o ho mr. naidu rab hai inside you
ho greed tu pee ja neat tu lets go ghat-ghata
o happy hour mein o happy hour mein
o happy hour mein o happy hour mein", , , ,9,2015
Tattoo,Shefali Alvares,Sachin Jigar,Mayur Puri,ABCD -  2 (2015),"Varun Dhawan, Shraddha Kapoor, Prabhu Dheva, Lauren Gottlieb, Raghav Juyal",Playful Songs,http://www.youtube.com/embed/s-_BENj1L4k,"aye aye aye aye aye aye
tell me how its gonna be
tell me how its gonna be do you wanna be with me
you wanna wanna be the one jo chaahe lele mujhse
do you wanna you wanna wanna 
see thing jo koi bhi na dekhe

how you make a girl feel
baby let me reveal na dekhe koi dekh le tu
angrezi mein saiyan kar liya tere naam ka tattoo
aye aye aye aye aye aye
angrezi mein saiyan kar liya tere naam ka tattoo
mere desi saiyan kar liya tere naam ka tattoo

ishq insane hai you know pure cocaine hai you know
saara din pain hai you know
seh ke pain bhi saiyan kar liya tere naam ka tattoo
aye aye aye aye aye aye
angrezi mein saiyan kar liya tere naam ka tattoo
mere desi saiyan kar liya tere naam ka tattoo

o jism ke dard ko ishq hi ki dawa hi kaam aayegi
o honthon pe darj ho saanson ki aanch to 
baat ban jaayegi
ishq insane hai you know pure cocaine hai you know
saara din pain hai you know
seh ke pain bhi saiyan kar liya tere naam ka tattoo
aye aye aye aye aye aye
angrezi mein saiyan kar liya tere naam ka tattoo
mere desi saiyan kar liya tere naam ka tattoo

aye aye aye aye aye aye
o door se dekh ke saiyan mujhko firangi na maan le
o paas aa dekh le rang desi mera chhu ke chhute na re
ishq insane hai you know pure cocaine hai you know
saara din pain hai you know
phir se again re saiyan kar liya tere naam ka tattoo
aye aye aye aye aye aye
angrezi mein saiyan kar liya tere naam ka tattoo
mere desi saiyan kar liya tere naam ka tattoo
aye aye aye aye aye aye", , , ,10,2015
